"director","id","original_title","popularity","budget","revenue","genres","vote_count","vote_average","runtime","release_date","year"
"Shawn Levy",11870,"Big Fat Liar",8.415,15000000,52970014,"Comedy|Family",439,5.7,"88","2002-02-08",2002
"Tom Shadyac",10052,"Dragonfly",12.452,60000000,52322400,"Drama",431,6.5,"104","2002-02-22",2002
"Mark Romanek",9357,"One Hour Photo",9.191,12000000,52223306,"Horror|Thriller",873,6.6,"96","2002-08-21",2002
"John Stockwell",9266,"Blue Crush",9.832,25000000,51842679,"Adventure|Romance|Drama",305,5.8,"104","2002-08-08",2002
"Michael Apted",1957,"Enough",10.643,38000000,51801187,"Drama|Thriller",547,6.5,"114","2002-05-24",2002
"Adam Shankman",10229,"A Walk to Remember",14.218,11800000,47494916,"Drama|Romance",2361,7.6,"101","2002-01-25",2002
"Ellory Elkayem",8869,"Eight Legged Freaks",11.172,30000000,45867333,"Action|Comedy|Horror|Thriller",560,5.4,"99","2002-07-17",2002
"Michael Rymer",11979,"Queen of the Damned",11.51,35000000,45479110,"Drama|Fantasy|Horror",483,5.6,"101","2002-02-10",2002
"Louis Leterrier",4108,"The Transporter",20.645,21000000,43928932,"Action|Crime|Thriller",3080,6.6,"92","2002-10-02",2002
"Malcolm D. Lee",12277,"Undercover Brother",9.454,25000000,41604473,"Action|Comedy",197,5.6,"86","2002-05-31",2002
"Stephen Daldry",590,"The Hours",12.591,25000000,41597830,"Drama",942,7.4,"114","2002-12-27",2002
"Roberto Benigni",10599,"Pinocchio",8.742,40000000,41323171,"Comedy|Family|Fantasy",475,5.9,"108","2002-10-11",2002
"Jonathan Frakes",15028,"Clockstoppers",9.46,26000000,38793283,"Adventure|Family|Science Fiction|Thriller",148,5,"94","2002-03-17",2002
"Bob Dolman",9034,"The Banger Sisters",7.64,10000000,38068353,"Comedy|Drama",124,5.6,"98","2002-09-20",2002
"Rick Rosenthal",11442,"Halloween: Resurrection",10.852,13000000,37664855,"Horror|Thriller",566,4.5,"94","2002-07-01",2002
"Michael Moore",1430,"Bowling for Columbine",9.908,4000000,35564473,"Documentary",846,7.6,"120","2002-10-09",2002
"Kathryn Bigelow",8665,"K-19: The Widowmaker",12.536,100000000,35168966,"Drama|History|War|Thriller|Mystery",492,6.4,"138","2002-07-19",2002
"Betty Thomas",8427,"I Spy",11.032,70000000,33561137,"Action|Adventure|Comedy|Thriller",542,5.3,"97","2002-10-31",2002
"Marcus Raboy",10426,"Friday After Next",17.087,20000000,33526835,"Comedy",191,6.2,"85","2002-11-22",2002
"George Clooney",4912,"Confessions of a Dangerous Mind",9.05,30000000,33013805,"Comedy|Crime|Drama|Romance|Thriller",566,6.8,"113","2002-12-30",2002
"Spike Jonze",2757,"Adaptation.",9.494,19000000,32801173,"Comedy|Crime|Drama",1271,7.4,"115","2002-12-06",2002
"Gregory Hoblit",10592,"Hart's War",10.253,70000000,32287044,"Drama|War",452,6.2,"125","2002-02-15",2002
"Clint Eastwood",9573,"Blood Work",9.774,50000000,31794718,"Crime|Thriller",392,6.2,"110","2002-08-04",2002
"Peter Jackson",652264,"The Lord of the Rings Trilogy",0.84,281000000,2.91e+09,"Action|Adventure|Fantasy",2,10,"660","2003-12-13",2003
"Peter Jackson",122,"The Lord of the Rings: The Return of the King",39.027,94000000,1118888979,"Adventure|Fantasy|Action",14175,8.4,"201","2003-12-01",2003
"Andrew Stanton",12,"Finding Nemo",31.668,94000000,940335536,"Animation|Family",12532,7.8,"100","2003-05-30",2003
"Lilly Wachowski",604,"The Matrix Reloaded",28.689,150000000,738599701,"Adventure|Action|Thriller|Science Fiction",6190,6.9,"138","2003-05-15",2003
"Gore Verbinski",22,"Pirates of the Caribbean: The Curse of the Black Pearl",44.508,140000000,655011224,"Adventure|Fantasy|Action",13283,7.7,"143","2003-07-09",2003
"Tom Shadyac",310,"Bruce Almighty",23.193,80000000,484572835,"Fantasy|Comedy",6798,6.6,"101","2003-05-23",2003
"Edward Zwick",616,"The Last Samurai",15.446,140000000,456758981,"Drama|Action|War|History",3763,7.5,"154","2003-12-05",2003
"Jonathan Mostow",296,"Terminator 3: Rise of the Machines",20.357,200000000,4.35e+08,"Action|Thriller|Science Fiction",3866,6,"109","2003-07-02",2003
"Lilly Wachowski",605,"The Matrix Revolutions",18.666,150000000,424988211,"Adventure|Action|Thriller|Science Fiction",5560,6.6,"129","2003-11-03",2003
"Sue Brooks",13433,"Japanese Story",3.883,32000000,424707060,"Drama|Romance",36,6.4,"110","2003-08-30",2003
"Bryan Singer",36658,"X2",2.142,110000000,407711549,"Adventure|Action|Science Fiction|Thriller",6599,7,"133","2003-04-24",2003
"Michael Bay",8961,"Bad Boys II",19.063,130000000,273339556,"Adventure|Action|Comedy|Thriller|Crime",2874,6.4,"147","2003-07-18",2003
"Nancy Meyers",6964,"Something's Gotta Give",9.934,80000000,266728738,"Drama|Comedy|Romance",819,6.5,"128","2003-12-12",2003
"McG",9471,"Charlie's Angels: Full Throttle",17.682,120000000,259175788,"Action|Adventure|Comedy",1798,5.4,"106","2003-06-27",2003
"Ang Lee",1927,"Hulk",16.367,137000000,245360480,"Action|Science Fiction",3427,5.4,"138","2003-06-19",2003
"Richard Curtis",508,"Love Actually",21.629,40000000,244931766,"Comedy|Romance|Drama",3862,7.1,"135","2003-09-07",2003
"John Singleton",584,"2 Fast 2 Furious",2.616,76000000,236350661,"Action|Crime|Thriller",4040,6.3,"107","2003-06-05",2003
"Jesse Dylan",8273,"American Wedding",15.256,55000000,231449203,"Comedy|Romance",2422,6.1,"103","2003-08-01",2003
"David Zucker",4256,"Scary Movie 3",14.892,48000000,220673217,"Comedy",2246,5.9,"84","2003-10-24",2003
"Peter Weir",8619,"Master and Commander: The Far Side of the World",21.598,150000000,212011111,"Adventure|Drama|War",1623,7,"138","2003-11-14",2003
"Robert Rodriguez",12279,"Spy Kids 3-D: Game Over",12.82,38000000,197011982,"Action|Adventure|Comedy|Family|Science Fiction",1231,5,"84","2003-07-25",2003
"Peter Segal",9506,"Anger Management",14.123,75000000,195745823,"Comedy",1783,6,"106","2003-04-11",2003
"Shawn Levy",11007,"Cheaper by the Dozen",14.929,40000000,190212113,"Comedy|Family",1688,6.2,"98","2003-12-24",2003
"Rob Minkoff",10756,"The Haunted Mansion",11.738,90000000,182290266,"Thriller|Fantasy|Comedy|Family|Mystery",1145,5.5,"88","2003-11-25",2003
"Quentin Tarantino",24,"Kill Bill: Vol. 1",31.581,30000000,180949045,"Action|Crime",10402,7.9,"111","2003-10-10",2003
"Stephen Norrington",8698,"The League of Extraordinary Gentlemen",15.822,78000000,179265204,"Fantasy|Action|Thriller|Science Fiction",2341,5.8,"110","2003-07-11",2003
"Mark Steven Johnson",9480,"Daredevil",14.325,78000000,179179718,"Fantasy|Action|Crime|Science Fiction|Thriller",3084,5.1,"103","2003-02-14",2003
"Donald Petrie",9919,"How to Lose a Guy in 10 Days",11.435,50000000,177371441,"Comedy|Romance",1990,6.6,"116","2003-02-07",2003
"F. Gary Gray",9654,"The Italian Job",18.52,60000000,176070171,"Action|Crime",3329,6.7,"110","2003-05-30",2003
"Jon Favreau",10719,"Elf",26.677,32000000,173398518,"Comedy|Family|Fantasy",2162,6.6,"97","2003-10-09",2003
"Anthony Minghella",2289,"Cold Mountain",10.221,79000000,173013509,"Adventure|Drama|History|Romance",980,6.9,"154","2003-12-24",2003
"Steve Carr",10708,"Daddy Day Care",11.845,60000000,164433867,"Comedy|Family",1256,5.8,"92","2003-05-03",2003
"Peter Howitt",9486,"Johnny English",13.207,40000000,160583018,"Adventure|Action|Comedy",1940,6.2,"88","2003-03-14",2003
"Clint Eastwood",322,"Mystic River",16.537,25000000,156822020,"Thriller|Crime|Drama|Mystery",3409,7.7,"138","2003-10-07",2003
"Jan de Bont",1996,"Lara Croft: Tomb Raider - The Cradle of Life",16.815,95000000,156505388,"Action|Adventure|Fantasy|Thriller",2736,5.7,"117","2003-07-21",2003
"Gary Ross",4464,"Seabiscuit",8.342,87000000,148336445,"Drama|History",444,6.9,"141","2003-07-22",2003
"Mathieu Kassovitz",4970,"Gothika",11.635,40000000,141591324,"Horror|Thriller",1304,6,"98","2003-11-21",2003
"Douglas Schwartz",56427,"Baywatch: Hawaiian Wedding",4.858,5500000,1.36e+08,"Action|Drama|Adventure",28,6,"100","2003-02-28",2003
"Steve Trenbirth",14873,"The Jungle Book 2",12.598,20000000,135680000,"Family|Animation|Adventure",662,5.8,"72","2003-02-07",2003
"Bo Welch",10588,"The Cat in the Hat",10.384,109000000,133818283,"Fantasy|Family",817,5.1,"82","2003-11-21",2003
"Adam Shankman",10678,"Bringing Down the House",8.852,20000000,132675402,"Comedy",372,5.7,"105","2003-03-07",2003
"Richard Linklater",1584,"School of Rock",13.86,35000000,131282949,"Comedy|Music",3216,7,"110","2003-10-03",2003
"Charles Herman-Wurmfeld",10327,"Legally Blonde 2: Red, White & Blonde",11.307,45000000,124914842,"Comedy",846,5.4,"95","2003-07-02",2003
"Tim Burton",587,"Big Fish",13.799,70000000,122919055,"Adventure|Fantasy|Drama",4220,7.8,"125","2003-12-25",2003
"P.J. Hogan",10601,"Peter Pan",12.426,100000000,121975011,"Adventure|Fantasy|Family",1539,7.2,"113","2003-12-25",2003
"Joel Coen",11775,"Intolerable Cruelty",8.921,60000000,119940815,"Crime|Comedy|Romance",758,5.9,"100","2003-09-02",2003
"Sofia Coppola",153,"Lost in Translation",15.777,4000000,119723856,"Drama|Romance|Comedy",3812,7.4,"102","2003-08-31",2003
"Clark Johnson",9257,"S.W.A.T.",15.375,80000000,116643346,"Action|Thriller|Crime",1343,6,"117","2003-08-08",2003
"Ronny Yu",6466,"Freddy vs. Jason",16.924,30000000,114908830,"Horror",1241,5.8,"97","2003-08-15",2003
"Mark Waters",10330,"Freaky Friday",12.607,26000000,110230332,"Comedy|Fantasy",2203,6.2,"97","2003-08-03",2003
"Marcus Nispel",9373,"The Texas Chainsaw Massacre",11.993,9500000,107071655,"Horror",1371,6.1,"98","2003-05-21",2003
"Shawn Levy",12090,"Just Married",11.584,18000000,101564935,"Comedy|Romance",750,5.5,"95","2003-01-09",2003
"Robert Rodriguez",1428,"Once Upon a Time in Mexico",13.649,29000000,98185582,"Action|Drama|Mystery",1160,6.3,"102","2003-09-11",2003
"Nigel Cole",8696,"Calendar Girls",8.869,10000000,96542059,"Drama|Comedy",187,6.7,"108","2003-09-02",2003
"Len Wiseman",277,"Underworld",13.959,22000000,95708457,"Fantasy|Action|Thriller",4084,6.7,"121","2003-09-19",2003
"John Woo",9620,"Paycheck",13.23,60000000,95427515,"Action|Adventure|Mystery|Science Fiction|Thriller",1002,6.1,"119","2003-12-25",2003
"David R. Ellis",9358,"Final Destination 2",13.201,26000000,90426405,"Horror|Mystery",2174,6.1,"90","2003-01-31",2003
"David Dobkin",6038,"Shanghai Knights",11.794,50000000,88323487,"Action|Adventure|Comedy|Western",1353,6,"115","2003-02-06",2003
"Todd Phillips",11635,"Old School",13.841,24000000,87055349,"Comedy",982,6.5,"91","2003-02-21",2003
"Antoine Fuqua",9567,"Tears of the Sun",13.526,70000000,85632458,"Action|Drama|War",1054,6.5,"121","2003-03-07",2003
"Peter Berg",10159,"The Rundown",9.851,85000000,80916492,"Adventure|Action|Comedy|Thriller",1004,6.3,"104","2003-09-26",2003
"Tim Johnson",14411,"Sinbad: Legend of the Seven Seas",16.678,60000000,80767884,"Family|Animation|Adventure|Comedy",1049,6.8,"86","2003-07-02",2003
"Gary Fleder",11329,"Runaway Jury",10.741,60000000,80154140,"Drama|Thriller",640,6.9,"127","2003-10-09",2003
"Wolfgang Becker",338,"Good bye, Lenin!",8.635,4800000,79384880,"Comedy|Drama",1193,7.5,"121","2003-02-09",2003
"Terry Zwigoff",10147,"Bad Santa",16.156,23000000,76488889,"Drama|Comedy|Crime",1206,6.5,"92","2003-11-26",2003
"Jon Amiel",9341,"The Core",14.398,60000000,74208267,"Action|Thriller|Adventure|Science Fiction",894,5.6,"136","2003-03-28",2003
"Joe Dante",10715,"Looney Tunes: Back in Action",9.709,80000000,68514844,"Animation|Comedy|Family",729,6,"93","2003-11-14",2003
"Kevin Costner",2055,"Open Range",12.742,22000000,68296293,"Western",493,7.2,"139","2003-08-29",2003
"Bobby Farrelly",1792,"Stuck on You",10.962,55000000,65784503,"Comedy",366,5.3,"119","2003-12-10",2003
"Ridley Scott",7270,"Matchstick Men",5.53,62000000,65565672,"Comedy|Drama|Crime|Thriller",932,7,"116","2003-09-01",2003
"Gérard Krawczyk",2334,"Taxi 3",11.949,14500000,65497208,"Action|Comedy",795,5.6,"82","2003-01-29",2003
"Bille Woodruff",10028,"Honey",13.277,18000000,62646763,"Romance|Music|Family",677,6.2,"94","2003-11-24",2003
"Alejandro González Iñárritu",470,"21 Grams",12.327,20000000,60427839,"Drama|Crime|Thriller",1713,7.3,"124","2003-09-06",2003
"Patty Jenkins",504,"Monster",10.483,8000000,60378584,"Crime|Drama",1091,7.2,"110","2003-12-24",2003
"Audrey Wells",10934,"Under the Tuscan Sun",10.365,18000000,58878723,"Romance|Comedy",391,6.6,"113","2003-09-20",2003
"Harald Zwart",10923,"Agent Cody Banks",10.104,28000000,58795814,"Action",633,5.2,"102","2003-03-14",2003
"Andrzej Bartkowiak",10623,"Cradle 2 the Grave",14.122,25000000,56489558,"Action|Crime|Drama",432,5.8,"101","2003-02-28",2003
"Jim Fall",18736,"The Lizzie McGuire Movie",10.13,17000000,55534455,"Family|Comedy",707,6,"94","2003-05-02",2003
"Carl Franklin",2116,"Out of Time",10.505,50000000,55495563,"Thriller|Crime|Drama",574,6.2,"105","2003-10-03",2003
"Chris Kentis",83,"Open Water",9.974,130000,54667954,"Drama|Thriller|Horror",622,5.4,"79","2003-12-29",2003
"Mike Tollin",13920,"Radio",7.236,32000000,52277485,"Drama",324,6.9,"109","2003-10-24",2003
"Ron Shelton",11375,"Hollywood Homicide",9.013,75000000,51142659,"Action|Adventure|Comedy|Thriller",323,5.2,"116","2003-06-09",2003
"Dennie Gordon",10735,"What a Girl Wants",12.073,20000000,50700000,"Comedy|Romance|Drama",941,6,"105","2003-03-27",2003
"F. Gary Gray",8409,"A Man Apart",8.308,36000000,44350926,"Action|Drama",455,6,"109","2003-04-04",2003
"Richard Donner",9562,"Timeline",10.17,80000000,43935763,"Action|Adventure|Science Fiction",573,5.7,"116","2003-11-26",2003
"John McTiernan",10782,"Basic",11.464,50000000,42792561,"Action|Drama|Mystery|Thriller|Crime",536,6.4,"98","2003-04-18",2003
"Niki Caro",1088,"Whale Rider",7.852,8000000,41400000,"Drama|Family",186,7.4,"101","2003-01-30",2003
"Troy Miller",10152,"Dumb and Dumberer: When Harry Met Lloyd",9.322,19000000,39267515,"Comedy",443,4.1,"85","2003-04-14",2003
"Alan Parker",11615,"The Life of David Gale",11.061,50000000,38955598,"Drama|Thriller|Crime",963,7.4,"130","2003-02-21",2003
"Chris Rock",9776,"Head of State",7.881,35200000,37788228,"Comedy",133,5.6,"95","2003-03-28",2003
"Paul Hunter",11817,"Bulletproof Monk",10.609,52000000,37713879,"Action|Comedy|Fantasy",489,5.3,"104","2003-03-28",2003
"Boaz Yakin",14926,"Uptown Girls",8.485,20000000,37095657,"Comedy",401,6.3,"92","2003-08-15",2003
"William Friedkin",10632,"The Hunted",9.392,55000000,34234008,"Drama|Action|Thriller|Crime",350,6,"94","2003-03-11",2003
"John Whitesell",13411,"Malibu's Most Wanted",10.525,15000000,3.4e+07,"Comedy|Crime",138,5.2,"86","2003-04-10",2003
"Eli Roth",11547,"Cabin Fever",9.412,1500000,30553395,"Horror",637,5.6,"93","2003-08-15",2003
"Andrew Adamson",809,"Shrek 2",20.731,150000000,919838758,"Adventure|Animation|Comedy|Family|Fantasy",6821,7,"93","2004-05-19",2004
"Alfonso Cuarón",673,"Harry Potter and the Prisoner of Azkaban",32.685,130000000,789804554,"Adventure|Fantasy",12539,7.9,"141","2004-05-31",2004
"Sam Raimi",558,"Spider-Man 2",10.176,200000000,783766341,"Action|Adventure|Fantasy",8747,7,"127","2004-06-25",2004
"Brad Bird",9806,"The Incredibles",24.842,92000000,631442092,"Action|Adventure|Animation|Family",11433,7.7,"115","2004-11-05",2004
"Mel Gibson",615,"The Passion of the Christ",16.614,30000000,611899420,"Drama",1886,7.1,"127","2004-02-25",2004
"Roland Emmerich",435,"The Day After Tomorrow",16.604,125000000,544272402,"Action|Adventure|Science Fiction|Thriller",4700,6.4,"124","2004-05-26",2004
"Jay Roach",693,"Meet the Fockers",11.325,80000000,516642939,"Comedy|Romance",2895,6.2,"115","2004-12-22",2004
"Wolfgang Petersen",652,"Troy",20.034,175000000,497409852,"Adventure|History",5901,7,"163","2004-05-03",2004
"Vicky Jenson",10555,"Shark Tale",19.398,75000000,367275019,"Animation|Action|Comedy|Family",3966,6,"90","2004-09-20",2004
"Steven Soderbergh",163,"Ocean's Twelve",17.389,110000000,362744280,"Thriller|Crime",4319,6.5,"125","2004-12-09",2004
"Jon Turteltaub",2059,"National Treasure",14.445,100000000,347451894,"Adventure|Action|Thriller|Mystery",3842,6.5,"131","2004-11-19",2004
"Alex Proyas",2048,"I, Robot",31.542,120000000,347234916,"Action|Science Fiction",7433,6.8,"115","2004-07-15",2004
"Robert Zemeckis",5255,"The Polar Express",19.885,165000000,310634054,"Adventure|Animation|Family|Fantasy",3492,6.6,"100","2004-11-10",2004
"Stephen Sommers",7131,"Van Helsing",17.19,160000000,300257475,"Horror|Adventure|Action",3321,6.1,"132","2004-05-05",2004
"Paul Greengrass",2502,"The Bourne Supremacy",15.258,75000000,288500217,"Action|Drama|Thriller",4656,7.3,"108","2004-07-23",2004
"Beeban Kidron",9801,"Bridget Jones: The Edge of Reason",10.902,40000000,262500000,"Comedy|Romance",1693,6.3,"108","2004-11-10",2004
"M. Night Shyamalan",6947,"The Village",13.114,60000000,256697520,"Drama|Mystery|Thriller",2269,6.4,"108","2004-07-30",2004
"Hayao Miyazaki",4935,"ハウルの動く城",22.961,24000000,236049757,"Fantasy|Animation|Adventure",4330,8.4,"119","2004-11-19",2004
"Steven Spielberg",594,"The Terminal",14.852,60000000,219417255,"Comedy|Drama",4184,7.3,"128","2004-06-17",2004
"Michael Mann",1538,"Collateral",20.603,65000000,217764291,"Drama|Crime|Thriller",2818,7.1,"120","2004-08-04",2004
"Clint Eastwood",70,"Million Dollar Baby",18.998,30000000,216763646,"Drama",5284,7.9,"132","2004-12-15",2004
"Brad Silberling",11774,"Lemony Snicket's A Series of Unfortunate Events",16.238,140000000,209073645,"Adventure|Comedy|Family",3244,6.8,"108","2004-12-16",2004
"Antoine Fuqua",9477,"King Arthur",19.23,120000000,203567857,"Adventure|War|History",1587,6.2,"126","2004-07-07",2004
"Peter Hewitt",8920,"Garfield",15.907,50000000,200804534,"Animation|Comedy|Family",2083,5.5,"80","2004-06-10",2004
"Peter Segal",1824,"50 First Dates",14.24,75000000,196482882,"Comedy|Romance",4426,6.7,"99","2004-02-13",2004
"Takashi Shimizu",1970,"The Grudge",10.813,10000000,183474602,"Horror|Mystery|Thriller",1695,5.9,"92","2004-10-22",2004
"John Hamburg",5966,"Along Came Polly",12.267,42000000,171963386,"Comedy|Romance",1611,5.9,"90","2004-01-16",2004
"Paul W.S. Anderson",395,"AVP: Alien vs. Predator",16.871,70000000,171183863,"Adventure|Science Fiction|Action|Horror",2360,5.7,"101","2004-08-12",2004
"Todd Phillips",9384,"Starsky & Hutch",14.821,60000000,170268750,"Comedy|Crime",1330,5.8,"101","2004-03-05",2004
"Peter Chelsom",4380,"Shall We Dance?",10.953,50000000,170128460,"Drama|Romance|Comedy",663,6.2,"107","2004-10-15",2004
"Rawson Marshall Thurber",9472,"DodgeBall: A True Underdog Story",14.066,20000000,167722310,"Comedy",2031,6.2,"92","2004-06-18",2004
"Oliver Stone",1966,"Alexander",14.089,155000000,167298192,"War|History|Action|Adventure|Drama|Romance",1933,5.8,"175","2004-11-21",2004
"Joel Schumacher",9833,"The Phantom of the Opera",12.621,70000000,154648887,"Thriller|Drama|Romance",869,7.2,"143","2004-12-08",2004
"Quentin Tarantino",393,"Kill Bill: Vol. 2",23.331,30000000,152159461,"Action|Crime|Thriller",8307,7.8,"136","2004-04-16",2004
"Stephen Hillenburg",11836,"The SpongeBob SquarePants Movie",13.517,30000000,140161792,"Animation|Comedy|Family",1400,6.7,"87","2004-11-14",2004
"Tony Scott",9509,"Man on Fire",15.463,70000000,130293714,"Action|Drama|Thriller",2714,7.4,"146","2004-04-23",2004
"Alexander Witt",1577,"Resident Evil: Apocalypse",8.339,45000000,129394835,"Horror|Action|Science Fiction",2373,6.2,"94","2004-09-10",2004
"Mark Waters",10625,"Mean Girls",23.945,17000000,129042871,"Comedy",5215,7.1,"97","2004-04-30",2004
"David S. Goyer",36648,"Blade: Trinity",17.002,65000000,128905366,"Science Fiction|Action|Horror|Thriller|Adventure|Fantasy",2225,5.8,"123","2004-12-08",2004
"Taylor Hackford",1677,"Ray",11.103,40000000,124731534,"Drama|Music",915,7.4,"152","2004-10-29",2004
"Michael Moore",1777,"Fahrenheit 9/11",11.606,6000000,119114517,"Documentary",771,7.1,"123","2004-06-25",2004
"Joseph Ruben",10145,"The Forgotten",10.708,42000000,117575636,"Drama|Horror|Mystery|Science Fiction|Thriller",615,5.7,"91","2004-09-24",2004
"Marc Forster",866,"Finding Neverland",13.067,25000000,116766556,"Drama",2424,7.3,"106","2004-10-17",2004
"David Twohy",2789,"The Chronicles of Riddick",8.762,105000000,115772733,"Action|Science Fiction",2469,6.4,"119","2004-06-11",2004
"Nick Cassavetes",11036,"The Notebook",21.543,29000000,115603229,"Romance|Drama",6718,7.9,"123","2004-06-25",2004
"Mike Nichols",2288,"Closer",18.501,27000000,115505027,"Drama|Romance",1834,6.8,"104","2004-12-01",2004
"Keenen Ivory Wayans",12153,"White Chicks",12.529,37000000,113086475,"Comedy",1746,6.7,"109","2004-06-23",2004
"Alexander Payne",9675,"Sideways",9.81,16000000,109502303,"Comedy|Drama|Romance",853,7,"127","2004-10-22",2004
"Joe Johnston",2023,"Hidalgo",17.909,100000000,108103450,"Western|Adventure",600,6.6,"136","2004-02-04",2004
"Will Finn",13700,"Home on the Range",14.132,110000000,103951461,"Animation|Family",1124,5.9,"76","2004-04-02",2004
"James Wan",176,"Saw",20.045,1200000,103911669,"Horror|Mystery|Crime",5185,7.4,"103","2004-10-01",2004
"Zack Snyder",924,"Dawn of the Dead",12.507,28000000,102356381,"Fantasy|Horror|Action|Drama",1999,6.9,"101","2004-03-19",2004
"Martin Scorsese",2567,"The Aviator",18.265,110000000,1.02e+08,"Drama",2963,7.1,"170","2004-12-17",2004
"Frank Oz",9890,"The Stepford Wives",11.52,90000000,1.02e+08,"Comedy|Science Fiction",727,5.6,"93","2004-06-10",2004
"Stephen Chow",9470,"功夫",12.016,20000000,101434304,"Action|Comedy|Crime|Fantasy",1358,7.3,"99","2004-02-10",2004
"Guillermo del Toro",1487,"Hellboy",17.034,66000000,99318987,"Fantasy|Action",4408,6.6,"122","2004-04-02",2004
"Paul Haggis",1640,"Crash",14.743,6500000,98410061,"Drama",2040,7.3,"112","2004-09-10",2004
"Gary Winick",10096,"13 Going on 30",15.439,37000000,96455697,"Comedy|Fantasy|Romance",2986,6.6,"98","2004-04-13",2004
"Jonathan Demme",14462,"The Manchurian Candidate",10.263,80000000,96105964,"Drama|Thriller|Mystery",779,6.4,"129","2004-07-30",2004
"Eric Bress",1954,"The Butterfly Effect",14.862,13000000,96060858,"Science Fiction|Thriller",4154,7.5,"113","2004-01-22",2004
"Garry Marshall",11130,"The Princess Diaries 2: Royal Engagement",23.043,40000000,95149435,"Comedy|Drama|Family|Romance",1915,6.5,"113","2004-08-06",2004
"David Koepp",1586,"Secret Window",13.189,40000000,92913171,"Mystery|Thriller",2073,6.5,"96","2004-03-12",2004
"Oliver Hirschbiegel",613,"Der Untergang",10.868,18339750,92180910,"Drama|History|War",1935,7.8,"156","2004-09-08",2004
"Adam McKay",8699,"Anchorman: The Legend of Ron Burgundy",12.338,26000000,90574188,"Comedy",2557,6.8,"95","2004-07-09",2004
"Pitof",314,"Catwoman",15.303,100000000,82102379,"Action|Fantasy|Mystery",1948,4.4,"104","2004-07-22",2004
"Renny Harlin",11026,"Exorcist: The Beginning",10.023,80000000,78000586,"Horror|Mystery|Thriller",370,5.1,"114","2004-08-20",2004
"Michael Herbig",9805,"(T)Raumschiff Surprise - Periode 1",7.639,9000000,76341401,"Comedy|Science Fiction",243,6.3,"87","2004-07-14",2004
"Jay Russell",11128,"Ladder 49",16.245,60000000,74541707,"Drama|Action|Thriller",400,6.3,"115","2004-10-01",2004
"Michel Gondry",38,"Eternal Sunshine of the Spotless Mind",15.847,20000000,72258126,"Science Fiction|Drama|Romance",8195,8.1,"108","2004-03-19",2004
"Frank Coraci",10204,"Around the World in 80 Days",15.646,110000000,72178895,"Action|Adventure|Comedy",1429,5.8,"120","2004-06-16",2004
"Mark Rosman",11247,"A Cinderella Story",13.996,19000000,70067909,"Comedy",1902,6.4,"95","2004-07-10",2004
"Steven Brill",10762,"Without a Paddle",7.774,19000000,69631118,"Action|Adventure|Comedy|Thriller",349,5.5,"95","2004-08-20",2004
"D.J. Caruso",11081,"Taking Lives",11.384,45000000,65470529,"Action|Crime|Mystery|Thriller|Drama",744,6.2,"103","2004-03-19",2004
"Kevin Rodney Sullivan",21301,"Barbershop 2:  Back in Business",9.187,18000000,65070412,"Comedy|Drama",129,5.7,"106","2004-01-20",2004
"Gavin O'Connor",14292,"Miracle",8.763,28000000,64445708,"Drama|History",309,7.1,"135","2004-02-06",2004
"Jean-Jacques Annaud",1997,"Deux Frères",7.755,74500000,62172050,"Adventure|Drama|Family",471,7.1,"109","2004-04-07",2004
"Brett Ratner",10589,"After the Sunset",9.596,60000000,61347797,"Action|Comedy|Crime|Drama",373,6.2,"97","2004-11-12",2004
"Peter Berg",13416,"Friday Night Lights",10.806,30000000,61255921,"Drama",282,6.9,"118","2004-10-08",2004
"Kerry Conran",5137,"Sky Captain and the World of Tomorrow",11.854,70000000,57958696,"Mystery|Action|Thriller|Science Fiction|Adventure",731,5.8,"107","2004-09-17",2004
"Kevin Bray",11358,"Walking Tall",10.653,56000000,57223890,"Adventure|Drama|Action|Thriller",712,6,"86","2004-04-02",2004
"David R. Ellis",9759,"Cellular",12.951,25000000,56422687,"Action|Thriller",1049,6.3,"94","2004-09-06",2004
"James L. Brooks",2539,"Spanglish",11.812,80000000,55041367,"Comedy",726,5.9,"130","2004-12-17",2004
"Jonathan Hensleigh",7220,"The Punisher",13.335,33000000,54700105,"Action|Crime|Drama",1489,6.1,"124","2004-04-15",2004
"Trey Parker",3989,"Team America: World Police",13.447,32000000,50907422,"Music|Adventure|Animation|Action|Comedy",1086,6.7,"98","2004-10-10",2004
"Garry Marshall",4599,"Raising Helen",10.198,50000000,49718611,"Drama|Comedy|Romance",415,6,"119","2004-05-27",2004
"Joel Zwick",15045,"Fat Albert",12.491,26000000,48563556,"Comedy|Family|Fantasy",131,4.6,"93","2004-12-12",2004
"Joseph Kahn",10718,"Torque",8.757,40000000,46546197,"Action",256,4.6,"84","2004-01-16",2004
"Jared Hess",8193,"Napoleon Dynamite",9.771,400000,46118097,"Comedy",1008,6.8,"95","2004-06-11",2004
"Richard Loncraine",11823,"Wimbledon",9.653,31000000,41512007,"Comedy|Romance",569,6.1,"98","2004-09-13",2004
"Pedro Almodóvar",140,"La mala educación",8.675,5000000,40266982,"Crime|Drama|Romance|Thriller|Mystery",450,7.4,"106","2004-03-19",2004
"Alejandro Amenábar",1913,"Mar adentro",8.352,12806000,38535221,"Drama",442,7.5,"125","2004-09-03",2004
